Business Name,Business Address,Business Phone,Business Website,Business Email,Facebook,Twitter,Linkedin,Keyword,Location,Date Extracted
"SmartStyle Hair Salon","SmartStyle Hair Salon, 335 Farmers Market Road #101, WALMART, Waterloo, ON N2V 1A4, Canada","+1 519-884-4256","https://www.smartstyle.com/checkin/52244","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"So Chiq Studio","So Chiq Studio, 42 Bridgeport Rd E, Waterloo, ON N2J 0B3, Canada","+1 519-885-0420","http://sochiqstudio.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Uday Stylist","Uday Stylist, 122 Weber St S, Waterloo, ON N2J 2A7, Canada","+1 226-507-9950","http://www.udaystylist.com/","info@udaystylist.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Heart and Soul Beauty Bar","Heart and Soul Beauty Bar, 11 Erb St E, Waterloo, ON N2J 1L4, Canada","+1 519-722-4669","https://www.heartandsoulbeautybar.com/","info@heartandsoulbeautybar.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Blessed Hair Studio","Blessed Hair Studio, 347 Erb St. W, Waterloo, ON N2L 1W4, Canada","+1 519-208-0061","https://blessedhairstudiokw.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"At Raymond's Hair & Day Spa","At Raymond's Hair & Day Spa, 550 King St N, Waterloo, ON N2L 5W6, Canada","+1 519-725-2302","http://www.atraymonds.com/","info@atraymonds.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Elz & Greco Hair & Beauty Studio Inc.","Elz & Greco Hair & Beauty Studio Inc., 52 King St N unit B, Waterloo, ON N2J 2W8, Canada","+1 548-288-4114","https://elzandgreco.com/","info@elzandgreco.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Universal Barber & Beauty","Universal Barber & Beauty, 65 University Ave E, Waterloo, ON N2J 2V9, Canada","+1 519-886-3232","https://booksy.com/en-ca/7032_universal-barber-beauty_barbers_970668_waterloo","info@booksy.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Aaina Salon & Spa","Aaina Salon & Spa, 5 Laurel St, Waterloo, ON N2J 2H1, Canada","+1 519-570-0000","http://aainasalon.com/","aainasalon@gmail.com","https://www.facebook.com/aainaspasalon/","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Absolute Hair Studio","Absolute Hair Studio, 8 Regina St N, Waterloo, ON N2J 2Z8, Canada","+1 519-883-3917","http://absolutehair.ca/","info@absolutehair.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Salon Ninety5","Salon Ninety5, 95 King St S, Waterloo, ON N2J 5A2, Canada","+1 226-899-2416","https://www.instagram.com/salon.ninety5/","info@instagram.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Voila Institute","Voila Institute, 228 King St S, Waterloo, ON N2J 1R3, Canada","+1 519-743-8892","http://www.voilainstitute.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Chatters Hair Salon","Chatters Hair Salon, 550 King St N N21, Waterloo, ON N2L 5W6, Canada","+1 519-747-3178","https://locations.chatters.ca/on-waterloo-ONCH28","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Tunique Nail + Hair Bar","Tunique Nail + Hair Bar, 425 University Ave E #9h, Waterloo, ON N2K 4C9, Canada","+1 519-744-5081","http://www.tuniquenail.com/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Nandani Beauty Salon Inc.","Nandani Beauty Salon Inc., 500 Glen Forrest Blvd, Waterloo, ON N2L 5G4, Canada","+1 519-885-0550","http://www.facebook.com/nandanibeautysalon","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"The Fix Hair Lounge","The Fix Hair Lounge, 255 Northfield Dr E Unit#6, Waterloo, ON N2K 0G5, Canada","+1 519-208-6300","https://thefixhairlounge.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Scissors & Razors","Scissors & Razors, 130 Columbia St W unit 212, Waterloo, ON N2L 0G6, Canada","+1 519-804-8845","http://www.scissorsandrazorssalon.com/","info@scissorsandrazorssalon.com","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Icon hair salon & spa","Icon hair salon & spa, 91 King St N #3, Waterloo, ON N2J 2X3, Canada","+1 519-888-6200","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Fashion Salon","Fashion Salon, 308 Lester St unit 110, Waterloo, ON N2L 0H9, Canada","+1 519-573-1866","https://fashionsalon-hairsalon.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Andrew Nuri Hair Studio","Andrew Nuri Hair Studio, 203 Lester St, Waterloo, ON N2L 3W3, Canada","+1 519-745-7772","http://www.andrewnuri.com/203lester/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Urban Nail Studio & Spa","Urban Nail Studio & Spa, 239 Weber St N, Waterloo, ON N2J 3H5, Canada","+1 519-208-7778","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Mosa Beauty Salon","Mosa Beauty Salon, 619 Wild Ginger Ave Unit E30, Waterloo, ON N2V 2X1, Canada","+1 519-342-4630","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Hairizona","Hairizona, 885 Glasgow St, Kitchener, ON N2M 2N7, Canada","+1 519-579-1010","https://www.hairizonasalon.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Coco Salon","Coco Salon, 938 King St W, Kitchener, ON N2G 1G4, Canada","+1 519-208-0995","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Deja Vu Spa","Deja Vu Spa, 201 Royal St, Waterloo, ON N2J 2H8, Canada","+1 519-745-2888","https://www.dejavuspa.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"All My Nails Salon","All My Nails Salon, 22 King St S #102, Waterloo, ON N2J 1N8, Canada","+1 519-883-0882","https://www.allmynails.ca/","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Mary's Hair Creations","Mary's Hair Creations, 35 Union St E, Waterloo, ON N2J 1B8, Canada","+1 519-578-7260","","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"Ace Cut Hair Studio 幻彩发艺","Ace Cut Hair Studio 幻彩发艺, 62 Larch St, Waterloo, ON N2L 3R3, Canada","+1 226-929-0666","https://ace-cut-hair-studio.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral","","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
"LUXE Nail Bar","LUXE Nail Bar, 95 King St S, Waterloo, ON N2J 1P2, Canada","+1 519-954-0404","http://www.luxenailbar.ca/","info@luxenailbar.ca","","","","Salon","Waterloo, Canada","2/18/2023 2:24:43 AM"
